
Name,Details
Hendrick Elbertsen van Osnabrugge,Baas Lantbouwer; voor vrijman en de Camer Amsterdam anno 1671 pr. De Burgt van Leijden aangelant en Ao. 1678 ultimo Januarij vrij geworden
Henningh Huijsen van Hamburgh,"adelborst [daar] voor; ende Camer Amsterdam anno 1673 pr. Azia aangelant, en anno 1678, 25 Februarij in vrijdom getreden"
Cornelis Adriaansen van Amsterdam,voor Vrijman anno 1671 ende Camer Amsterdam met de fluijt [Bueren] alhier aangelant
Thimorees huijsgesien,
Jan Cornelissen van Utrecht,soldaat daar voor anno 1661 met 't Wapen van Hollandt voor de Camer Amsterdam aangelant
Matthijs Greve van Maagdenburgh,Boss' anno 1679 voor de Camer Amsterdam pr. Middelbr: uijtgecomen en primo Januarij 1680 in vrijdom getreden
Jan Hollesmit van Gulick,vrij schoenmakers (in company with Coenraat Bouwebach van Isenach)
Coenraat Bouwebach van Isenach,vrij schoenmakers (in company with Jan Hollesmit van Gulick)
Simon Arabier,en Madagascaansen Tolck; anno 1673 met de fluijt Helena aen't Eijlant Sta. Helena genomen en alhier aangebraecht
Dirck Couche van Amsterdam,voor adelborst; anno 1673 voor ditto Camer pr. 't schip Azia uijtgecomen en alhier voor vrijman aangelant
Emanuel van Angloa,vrij swart
Simon Groot van Wittenbergh,adelborst; voor de Camer Amsterdam anno 1672 pr. Macassar aangelant en ... ... vrij geworden
Louijs van Bengale,
Adriaan Gerritsen van Ter Gouw,voor matroos; anno stantij pr. Macasser alhier aangelant en 28 Julij in vrijdom g'largeert
Pieter Vasagie van Antwerpen,Baes Thuijnier; voor soldaat ende Camer Seelandt anno 1655 met 't jacht Kouwkercken aangelandt
Sijmon Janssen van Den Bosch,voor matroos en de Camer Seelant anno 1666 pr. Walcheren uijtgecomen en anno 1668 als metselaar vrijgeworden
Hendrick Baar van Haringen,voor soldaat ende Camer Zeelandt anno 1667 met Diemermeer aangelant
Hendrick Leeuw van Luijckstadt,voor bosschieter ende Camer Zeelant anno 1667 pr. 't Wapen van Middelburgh uijt becomen en anno 1669 primo Januarij vrij geworden
Ocker Cornelissen van Ouwerkerck,voor matroos ende Camer Seelandt anno 1667 pr. 't Wapen van Middelb: aangelandt
Jan Pietersen van Carspeltermare,met de Princes Royal anno 1659 voor de Camer Zeelandt aangelant
Jan Cornelissen van Out Beijerlandt,met Walcheren; anno 1666 voor de Camer Zeelandt aangelant en primo Januarij 1671 vrij geworden
Willem Willemsen Trompetter van Brouwershaven,voor bootgesel; ende Camer Zeelant ao. 1669 met Loosduijnen aangelant en anno 1670 ultimo Februarij vrij geworden
Hendrick Cornelissen van Ouwerkerck,voor matroos en de Camer Zeelandt anno 1667 pr. 't Wapen van Middelburgh aangelant
Claas Jacobsen van Meldorp,pr. de Princes Royaal; anno 1659 voor de Camer Zeelant aangelant
Hendrick Sneewint van Baal,adelborst voor de Camer Seelandt anno 1674 pr. 't Wapen van Zk. Zee aangelant en ultimo Augustij 1676 vrij geworden
Claas Hendricksen van Meldorp,voor adelborst ende Camer Zeelant anno 1670 pr. Wapen van ter Goes aangelantdt en 22 Januarij 1677 vrij geworden
Jacob Aertsen Brouwer,van Thiel timmerman; voor adelborst end' Camer Zeelant anno 1674 pr. Tidoor aangelant en 1677 den 18 April vrij geworden
Jan van Breinen van Rhenen,adelborst voor de Camer Zeelant anno 1674 pr: t jacht Odijck aangelant en den 8 Maij 1677 vrijgeworden
Jan Yser van Luijck,adelborst voor de Camer Seelant anno 1672 pr: Middelburgh in India gecomen en 1677 ultimo Xber. vrij geworden
Jochum Marquart van Gorcum,"baas slachter; anno 1662 met Orangien voor de Camer Seelandt uit-gecomen, en anno 1678 ultimo Januarij in vrijdom getreden"
Claas Gerritsen van Deventer,soldaat voor de Camer Zeelandt anno 1670 pr: 't Wapen van Zk. Zee aangelt. en 25 Februarij anno 1678 in vrijdom getreden
Jan Janssen van Oldenburgh,voor vrijman met 't schip No. Middelburgh end' Camer Amsterdam aangelandt
Willem Schalck van der Merwe,voor d'Camer Delft anno 1661 pr ‘t schip Dort aangelant en ao. in vrijdom getreden
Jan Coenraat Visser van Omme,pr. 't schip Dort voor de Camer Delft anno 1658 aangelant
Elbert Dircksen Diemer van Emmerick,"ao. 1655 met Nieuw Rotterdam voor d'Camer Rotterdam uijtgecomen, en anno 1657 primo October in vrijdom getreden"
Gerrit Pietersen van de Bijl,voor adelborst end'Camer Rotterdam anno 1667 pr 't jacht Batavia aangelant
Hendrick Ollem van Langenbreke,"adelborst, daer voor ende Camer Rotterdam 1675 pr. Africa aangelant en ultimo April 1678 in vrijdom getreden"
Pieter Gerritsen Roe van Scherpenzeel,soldaat voor de Camer Hoorn anno 1669 met 't schip de Jonge Prins aangelant en anno 1676 den 12 Augustij vrij geworden
Willem van Wijck van Ingen,soldaat daer voor ende Camer Hoorn ao. 1671 pr. de Gecroonde Vrede aangelant en ao. 1678 den 6 April vrij geworden
Gerrit Janssen van Brabandt,soldaat voor de Camer Enckhuijsen anno 1665 pr. 't Casteel Medenblick aangelant en 1672 den 15 April vrijgeworden
Arnoldus Willemsen van Wesel,voor soldaat ende Camer Enckhuijsen anno 1665 met Het Casteel Medenblick uijtgecomen en anno 1669 vrij geworden
Jan Hendricksen van Oldenburgerlandt,voor soldaat ende Camer Enckhuijsen ao. 1667 pr De Jonge Prins aangelant en doenmaels in vrijdom getreden
Hendrick Dircksen van Embden,met Nieuw Enckhuijsen voor ditto Camer ao. ... alhier aangelant
Pieter Janssen van de Westhuijsen,met Westvrieslandt anno 1662 voor de Camer Enckhuijsen aangelant
Aatte Classen van Leeuwarden,"bootsgesel voor de Camer Enckhuijsen anno 1674 pr. 't Casteel Medenblick aangelant, en doenmaals vrij geworden"
Leendeert van Gijselen,"baas thuijnier; voor boss:r ende Camer Enckhuijsen anno 1665 met 't Casteel Medenblick uijt gecomen, en 1675 ultimo Junij vrij geworden"
Nicolaas Laubser van Meijnburgh,"voor adelborst; ende Camer Enckhuijsen a:o 1673 p:r de fluijt Soetendaal aangelant, en anno 1676 ultimo Augustij in vrijdom g'largeert"
